t # 0
v 0 0
v 1 0
v 2 0
v 3 0
v 4 0
v 5 0
v 6 0
v 7 0
v 8 0
v 9 0
v 10 0
v 11 0
v 12 0
v 13 0
v 14 0
v 15 0
v 16 0
v 17 0
v 18 0
v 19 0
v 20 0
v 21 0
v 22 0
v 23 0
v 24 0
v 25 0
v 26 0
v 27 0
v 28 0
v 29 0
v 30 0
v 31 0
v 32 0
v 33 0
v 34 0
v 35 0
v 36 0
v 37 0
v 38 0
v 39 0
v 40 0
v 41 0
v 42 0
v 43 0
v 44 0
v 45 0
v 46 0
v 47 0
v 48 0
v 49 0
v 50 0
v 51 0
v 52 0
v 53 0
v 54 0
v 55 0
v 56 0
v 57 0
v 58 0
v 59 0
v 60 0
v 61 0
v 62 0
v 63 0
v 64 0
v 65 0
v 66 0
v 67 0
v 68 0
v 69 0
v 70 0
v 71 0
v 72 0
v 73 0
v 74 0
v 75 0
v 76 0
v 77 0
v 78 0
v 79 0
v 80 0
v 81 0
v 82 0
v 83 0
v 84 0
v 85 0
v 86 0
v 87 0
v 88 0
v 89 0
v 90 0
v 91 0
v 92 0
v 93 0
v 94 0
v 95 0
v 96 0
v 97 0
v 98 0
v 99 0
v 100 0
v 101 0
v 102 0
v 103 0
v 104 0
v 105 0
v 106 0
v 107 0
v 108 0
v 109 0
v 110 0
v 111 0
v 112 0
v 113 0
v 114 0
v 115 0
v 116 0
v 117 0
v 118 0
v 119 0
v 120 0
v 121 0
v 122 0
v 123 0
v 124 0
v 125 0
v 126 0
v 127 0
v 128 0
v 129 0
v 130 0
v 131 0
v 132 0
v 133 0
v 134 0
v 135 0
v 136 0
v 137 0
v 138 0
v 139 0
v 140 0
v 141 0
v 142 0
v 143 0
v 144 0
v 145 0
v 146 0
v 147 0
v 148 0
v 149 0
v 150 0
v 151 0
v 152 0
v 153 0
v 154 0
v 155 0
v 156 0
v 157 0
v 158 0
v 159 0
v 160 0
v 161 0
v 162 0
v 163 0
v 164 0
v 165 0
v 166 0
v 167 0
v 168 0
v 169 0
v 170 0
v 171 0
v 172 0
v 173 0
v 174 0
v 175 0
v 176 0
v 177 0
v 178 0
v 179 0
v 180 0
v 181 0
v 182 0
v 183 0
v 184 0
v 185 0
v 186 0
v 187 0
v 188 0
v 189 0
v 190 0
v 191 0
v 192 0
v 193 0
v 194 0
v 195 0
v 196 0
v 197 0
v 198 0
v 199 0
v 200 0
v 201 0
v 202 0
v 203 0
v 204 0
v 205 0
v 206 0
v 207 0
v 208 0
v 209 0
v 210 0
v 211 0
v 212 0
v 213 0
v 214 0
v 215 0
v 216 0
v 217 0
v 218 0
v 219 0
v 220 0
v 221 0
v 222 0
v 223 0
v 224 0
v 225 0
v 226 0
v 227 0
v 228 0
v 229 0
v 230 0
v 231 0
v 232 0
v 233 0
v 234 0
v 235 0
v 236 0
v 237 0
v 238 0
v 239 0
v 240 0
v 241 0
v 242 0
v 243 0
v 244 0
v 245 0
v 246 0
v 247 0
v 248 0
v 249 0
v 250 0
v 251 0
v 252 0
v 253 0
v 254 0
v 255 0
v 256 0
v 257 0
v 258 0
v 259 0
v 260 0
v 261 0
v 262 0
v 263 0
v 264 0
v 265 0
v 266 0
v 267 0
v 268 0
v 269 0
v 270 0
v 271 0
v 272 0
v 273 0
v 274 0
v 275 0
v 276 0
v 277 0
v 278 0
v 279 0
v 280 0
v 281 0
v 282 0
v 283 0
v 284 0
v 285 0
v 286 0
v 287 0
v 288 0
v 289 0
v 290 0
v 291 0
v 292 0
v 293 0
v 294 0
v 295 0
v 296 0
v 297 0
v 298 0
v 299 0
v 300 0
v 301 0
v 302 0
v 303 0
v 304 0
v 305 0
v 306 0
v 307 0
v 308 0
v 309 0
v 310 0
v 311 0
v 312 0
v 313 0
v 314 0
v 315 0
