codice_body,codice_head,codice_completo,supporto
01,,01→,32571
0112,,0112→,21148
0102,,0102→,20136
011203,,011203→,19195
0110,,0110→,17920
011223,,011223→,16865
011221,,011221→,15714
011021,,011021→,15714
011020,,011020→,15714
010203,,010203→,14580
011213,,011213→,13003
011012,,011012→,12436
011002,,011002→,12436
011220,,011220→,5045
,01,→01,1941
01,02,01→02,1570
0112,03,0112→03,1466
01,20,01→20,1453
0112,30,0112→30,1359
0102,03,0102→03,1341
0110,20,0110→20,1224
0123,20,0123→20,1213
0102,30,0102→30,1178
0110,02,0110→02,708
,0102,→0102,654
01,2023,01→2023,580
01,0203,01→0203,563
01,0213,01→0213,490
,0112,→0112,453
,0110,→0110,442
01,0223,01→0223,414
01,2013,01→2013,388
01,2330,01→2330,361
01,10,01→10,360
01,2003,01→2003,359
01,2112,01→2112,357
01,1221,01→1221,357
01,2002,01→2002,341
01,0220,01→0220,341
0120,10,0120→10,326
0102,10,0102→10,318
0121,10,0121→10,318
0112,10,0112→10,297
,011203,→011203,294
,010203,→010203,258
,011020,→011020,228
,011221,→011221,228
,011021,→011021,228
,011002,→011002,170
,011012,→011012,170
,011223,→011223,170
,011213,→011213,161
0112,20,0112→20,158
01,1210,01→1210,134
01,1012,01→1012,134
01,2110,01→2110,113
01,1021,01→1021,113
01,2010,01→2010,98
01,1020,01→1020,98
01,1002,01→1002,55
01,1220,01→1220,27
,011220,→011220,12
