codice_completo,supporto_evomine,prob_mtm,in_mtm
01→,60533,,False
0112→,39426,,False
0102→,37563,,False
011203→,35867,,False
0110→,33506,,False
011223→,31492,,False
011221→,29387,,False
011021→,29387,,False
011020→,29387,,False
010203→,27238,,False
011213→,24323,,False
011012→,23278,,False
011002→,23278,,False
011220→,9497,,False
→01,2257,,False
01→02,1877,,False
0112→03,1764,0.051282,True
01→20,1711,,False
0102→03,1622,0.426945,True
0112→30,1609,0.038462,True
0110→20,1463,0.189542,True
0123→20,1456,,False
0102→30,1397,0.028463,True
0110→02,852,0.045752,True
→0102,683,,False
01→2023,612,,False
01→0203,600,,False
→0110,468,,False
01→0213,463,,False
01→10,439,,False
→0112,429,,False
0120→10,397,0.136364,True
0102→10,390,0.026565,True
01→0223,389,,False
0121→10,388,0.086275,True
01→2112,385,,False
01→1221,385,,False
01→0220,369,,False
01→2002,369,,False
0112→10,365,0.102564,True
01→2013,359,,False
01→2003,347,,False
01→2330,342,,False
→011203,251,,False
→010203,226,,False
→011221,207,,False
→011021,207,,False
→011020,207,,False
0112→20,199,,False
→011002,153,,False
→011012,153,,False
01→1210,145,,False
01→1012,145,,False
→011223,134,,False
→011213,123,,False
01→2110,109,,False
01→1021,109,,False
01→2010,94,,False
01→1020,94,,False
01→1002,47,,False
01→1220,22,,False
→011220,12,,False
