bucket,n_arcs,n_active_nodes,n_new_nodes,n_new_edge_events,density_local,cum_new_nodes,novelty_rate
0,1,2,2,1,0.5,2,1.0
1,0,0,0,0,0.0,2,
2,0,0,0,0,0.0,2,
3,0,0,0,0,0.0,2,
4,0,0,0,0,0.0,2,
5,0,0,0,0,0.0,2,
6,0,0,0,0,0.0,2,
7,0,0,0,0,0.0,2,
8,0,0,0,0,0.0,2,
9,0,0,0,0,0.0,2,
10,0,0,0,0,0.0,2,
11,0,0,0,0,0.0,2,
12,0,0,0,0,0.0,2,
13,0,0,0,0,0.0,2,
14,0,0,0,0,0.0,2,
15,0,0,0,0,0.0,2,
16,0,0,0,0,0.0,2,
17,0,0,0,0,0.0,2,
18,0,0,0,0,0.0,2,
19,0,0,0,0,0.0,2,
20,0,0,0,0,0.0,2,
21,0,0,0,0,0.0,2,
22,0,0,0,0,0.0,2,
23,0,0,0,0,0.0,2,
24,0,0,0,0,0.0,2,
25,0,0,0,0,0.0,2,
26,0,0,0,0,0.0,2,
27,0,0,0,0,0.0,2,
28,0,0,0,0,0.0,2,
29,0,0,0,0,0.0,2,
30,0,0,0,0,0.0,2,
31,1,2,2,1,0.5,4,1.0
32,0,0,0,0,0.0,4,
33,0,0,0,0,0.0,4,
34,0,0,0,0,0.0,4,
35,0,0,0,0,0.0,4,
36,0,0,0,0,0.0,4,
37,0,0,0,0,0.0,4,
38,0,0,0,0,0.0,4,
39,0,0,0,0,0.0,4,
40,0,0,0,0,0.0,4,
41,0,0,0,0,0.0,4,
42,0,0,0,0,0.0,4,
43,0,0,0,0,0.0,4,
44,0,0,0,0,0.0,4,
45,0,0,0,0,0.0,4,
46,0,0,0,0,0.0,4,
47,0,0,0,0,0.0,4,
48,0,0,0,0,0.0,4,
49,0,0,0,0,0.0,4,
50,0,0,0,0,0.0,4,
51,0,0,0,0,0.0,4,
52,0,0,0,0,0.0,4,
53,0,0,0,0,0.0,4,
54,0,0,0,0,0.0,4,
55,0,0,0,0,0.0,4,
56,0,0,0,0,0.0,4,
57,0,0,0,0,0.0,4,
58,0,0,0,0,0.0,4,
59,0,0,0,0,0.0,4,
60,0,0,0,0,0.0,4,
61,0,0,0,0,0.0,4,
62,0,0,0,0,0.0,4,
63,0,0,0,0,0.0,4,
64,0,0,0,0,0.0,4,
65,0,0,0,0,0.0,4,
66,0,0,0,0,0.0,4,
67,0,0,0,0,0.0,4,
68,0,0,0,0,0.0,4,
69,0,0,0,0,0.0,4,
70,0,0,0,0,0.0,4,
71,0,0,0,0,0.0,4,
72,0,0,0,0,0.0,4,
73,0,0,0,0,0.0,4,
74,0,0,0,0,0.0,4,
75,0,0,0,0,0.0,4,
76,0,0,0,0,0.0,4,
77,0,0,0,0,0.0,4,
78,0,0,0,0,0.0,4,
79,0,0,0,0,0.0,4,
80,0,0,0,0,0.0,4,
81,0,0,0,0,0.0,4,
82,0,0,0,0,0.0,4,
83,0,0,0,0,0.0,4,
84,0,0,0,0,0.0,4,
85,0,0,0,0,0.0,4,
86,0,0,0,0,0.0,4,
87,0,0,0,0,0.0,4,
88,0,0,0,0,0.0,4,
89,0,0,0,0,0.0,4,
90,0,0,0,0,0.0,4,
91,0,0,0,0,0.0,4,
92,0,0,0,0,0.0,4,
93,0,0,0,0,0.0,4,
94,0,0,0,0,0.0,4,
95,0,0,0,0,0.0,4,
96,0,0,0,0,0.0,4,
97,0,0,0,0,0.0,4,
98,0,0,0,0,0.0,4,
99,0,0,0,0,0.0,4,
100,0,0,0,0,0.0,4,
101,0,0,0,0,0.0,4,
102,0,0,0,0,0.0,4,
103,1,2,1,1,0.5,5,1.0
104,0,0,0,0,0.0,5,
105,0,0,0,0,0.0,5,
106,0,0,0,0,0.0,5,
107,0,0,0,0,0.0,5,
108,0,0,0,0,0.0,5,
109,0,0,0,0,0.0,5,
110,4,6,6,4,0.6666666666666666,11,1.0
111,8,9,8,8,0.8888888888888888,19,1.0
112,1,2,2,1,0.5,21,1.0
113,4,6,3,4,0.6666666666666666,24,1.0
114,0,0,0,0,0.0,24,
115,0,0,0,0,0.0,24,
116,0,0,0,0,0.0,24,
117,0,0,0,0,0.0,24,
118,1,2,1,1,0.5,25,1.0
119,0,0,0,0,0.0,25,
120,0,0,0,0,0.0,25,
121,0,0,0,0,0.0,25,
122,1,2,1,1,0.5,26,1.0
123,0,0,0,0,0.0,26,
124,1,2,2,1,0.5,28,1.0
125,0,0,0,0,0.0,28,
126,0,0,0,0,0.0,28,
127,0,0,0,0,0.0,28,
128,1,2,1,1,0.5,29,1.0
129,0,0,0,0,0.0,29,
130,0,0,0,0,0.0,29,
131,0,0,0,0,0.0,29,
132,5,4,4,5,1.25,33,1.0
133,0,0,0,0,0.0,33,
134,2,3,2,2,0.6666666666666666,35,1.0
135,0,0,0,0,0.0,35,
136,1,2,2,1,0.5,37,1.0
137,0,0,0,0,0.0,37,
138,6,9,4,6,0.6666666666666666,41,1.0
139,1,2,0,1,0.5,41,1.0
140,0,0,0,0,0.0,41,
141,0,0,0,0,0.0,41,
142,0,0,0,0,0.0,41,
143,0,0,0,0,0.0,41,
144,0,0,0,0,0.0,41,
145,0,0,0,0,0.0,41,
146,0,0,0,0,0.0,41,
147,0,0,0,0,0.0,41,
148,2,3,2,2,0.6666666666666666,43,1.0
149,0,0,0,0,0.0,43,
150,1,2,0,1,0.5,43,1.0
151,2,4,3,2,0.5,46,1.0
152,3,4,2,3,0.75,48,1.0
153,0,0,0,0,0.0,48,
154,12,15,11,12,0.8,59,1.0
155,9,10,3,8,0.9,62,0.8888888888888888
156,25,18,7,24,1.3888888888888888,69,0.96
157,9,11,5,7,0.8181818181818182,74,0.7777777777777778
158,17,18,7,13,0.9444444444444444,81,0.7647058823529411
159,16,17,2,13,0.9411764705882353,83,0.8125
160,12,16,4,8,0.75,87,0.6666666666666666
161,21,17,8,19,1.2352941176470589,95,0.9047619047619048
162,6,9,1,4,0.6666666666666666,96,0.6666666666666666
163,12,11,6,11,1.0909090909090908,102,0.9166666666666666
164,5,6,0,3,0.8333333333333334,102,0.6
165,4,5,2,4,0.8,104,1.0
166,1,2,0,0,0.5,104,0.0
167,0,0,0,0,0.0,104,
168,0,0,0,0,0.0,104,
169,0,0,0,0,0.0,104,
170,8,11,3,8,0.7272727272727273,107,1.0
171,2,3,0,2,0.6666666666666666,107,1.0
172,9,12,7,8,0.75,114,0.8888888888888888
173,9,12,3,9,0.75,117,1.0
174,9,11,3,9,0.8181818181818182,120,1.0
175,8,14,2,6,0.5714285714285714,122,0.75
176,4,8,4,3,0.5,126,0.75
177,6,7,2,3,0.8571428571428571,128,0.5
178,12,13,1,6,0.9230769230769231,129,0.5
179,11,13,2,8,0.8461538461538461,131,0.7272727272727273
180,8,11,1,5,0.7272727272727273,132,0.625
181,21,11,3,18,1.9090909090909092,135,0.8571428571428571
182,3,4,1,3,0.75,136,1.0
183,17,14,3,15,1.2142857142857142,139,0.8823529411764706
184,15,12,1,12,1.25,140,0.8
185,7,9,1,6,0.7777777777777778,141,0.8571428571428571
