codice_lungo,codice_corto,fonte
0_1_0,p1,EvoMine
0_1_0-1_2_0,p2,EvoMine
0_1_0-0_2_0,p3,EvoMine
0_1_0-0_3_0-1_2_0,p4,EvoMine
0_1_0-1_0_0,p5,EvoMine
0_1_0-1_2_0-2_3_0,p6,EvoMine
0_1_0-1_0_0-2_0_0,p7,EvoMine
0_1_0-1_0_0-2_1_0,p8,EvoMine
0_1_0-1_2_0-2_1_0,p9,EvoMine
0_1_0-0_2_0-0_3_0,p10,EvoMine
0_1_0-1_2_0-1_3_0,p11,EvoMine
0_1_0-0_2_0-1_0_0,p12,EvoMine
0_1_0-1_0_0-1_2_0,p13,EvoMine
0_1_0-1_2_0-2_0_0,p14,EvoMine
2_0_1,p15,EvoMine
0_1_1,p16,EvoMine
0_3_1,p17,EvoMine
0_1_0-0_2_1,p18,entrambi
3_0_1,p19,EvoMine
0_2_1,p20,EvoMine
0_1_0-2_0_1,p21,entrambi
1_0_1,p22,EvoMine
0_1_0-1_2_0-0_3_1,p23,EvoMine
0_1_0-1_2_0-3_0_1,p24,EvoMine
0_1_0-0_2_0-0_3_1,p25,EvoMine
0_1_1-0_2_1,p26,EvoMine
0_1_0-1_0_0-2_0_1,p27,EvoMine
0_1_0-2_3_0-2_0_1,p28,EvoMine
0_1_0-2_3_0,p29,EvoMine
0_1_0-0_2_0-3_0_1,p30,EvoMine
0_1_1-1_2_1,p31,EvoMine
0_1_1-1_0_1,p32,EvoMine
0_1_0-1_2_1-2_1_1,p33,EvoMine
1_2_1-2_1_1,p34,EvoMine
0_1_0-1_0_0-0_2_1,p35,EvoMine
0_1_0-1_0_1,p36,entrambi
0_1_0-0_2_1-2_0_1,p37,EvoMine
0_2_1-2_0_1,p38,EvoMine
0_1_1-0_3_1-1_2_1,p39,EvoMine
0_1_0-2_0_1-2_3_1,p40,EvoMine
2_0_1-2_3_1,p41,EvoMine
0_1_0-2_1_1,p42,MTM
0_1_0-0_2_1-0_3_1,p43,EvoMine
0_2_1-0_3_1,p44,EvoMine
0_1_0-0_1_1,p45,MTM
0_1_1-0_2_1-0_3_1,p46,EvoMine
0_1_0-0_2_1-1_3_1,p47,EvoMine
0_2_1-1_3_1,p48,EvoMine
0_1_1-1_0_1-2_0_1,p49,EvoMine
0_1_1-1_0_1-2_1_1,p50,EvoMine
0_1_1-1_2_1-2_1_1,p51,EvoMine
0_1_0-0_2_1-2_3_1,p52,EvoMine
0_2_1-2_3_1,p53,EvoMine
0_1_0-1_3_1-2_0_1,p54,EvoMine
1_3_1-2_0_1,p55,EvoMine
0_1_0-2_3_1-3_0_1,p56,EvoMine
2_3_1-3_0_1,p57,EvoMine
0_1_0-0_3_1-2_0_1,p58,EvoMine
0_3_1-2_0_1,p59,EvoMine
0_1_1-0_2_1-1_0_1,p60,EvoMine
0_1_1-1_0_1-1_2_1,p61,EvoMine
0_1_1-1_2_1-2_3_1,p62,EvoMine
0_1_0-2_0_0-1_0_1,p63,EvoMine
0_1_0-2_0_0,p64,EvoMine
0_1_1-1_2_1-1_3_1,p65,EvoMine
0_1_0-2_1_0-1_0_1,p66,EvoMine
0_1_0-2_1_0,p67,EvoMine
0_1_0-0_2_0-1_0_1,p68,EvoMine
0_1_0-1_2_0-1_0_1,p69,EvoMine
0_1_2,p70,MTM
0_1_0-1_0_1-1_2_1,p71,EvoMine
1_0_1-1_2_1,p72,EvoMine
0_3_2,p73,MTM
0_1_0-1_0_1-2_1_1,p74,EvoMine
1_0_1-2_1_1,p75,EvoMine
0_1_0-0_2_1-0_3_2,p76,MTM
0_1_0-1_0_1-2_0_1,p77,EvoMine
1_0_1-2_0_1,p78,EvoMine
0_1_0-1_2_1,p79,MTM
0_1_0-1_2_0-2_0_1,p80,EvoMine
2_3_2,p81,MTM
3_2_2,p82,MTM
0_2_2,p83,MTM
2_1_2,p84,MTM
0_1_0-0_1_1-0_1_2,p85,MTM
3_1_2,p86,MTM
1_0_2,p87,MTM
2_0_2,p88,MTM
0_1_0-0_2_1-3_2_2,p89,MTM
0_1_0-0_2_1-0_2_2,p90,MTM
3_0_2,p91,MTM
0_1_0-2_1_1-2_3_2,p92,MTM
0_1_0-1_0_1-0_1_2,p93,MTM
0_1_0-0_2_1-1_0_1,p94,EvoMine
0_2_1-1_0_1,p95,EvoMine
0_1_0-2_0_1-2_3_2,p96,MTM
0_1_0-0_2_1-3_1_2,p97,MTM
0_1_0-0_1_1-2_1_2,p98,MTM
0_1_0-0_2_1-0_1_2,p99,MTM
1_2_2,p100,MTM
0_1_0-0_1_1-0_2_2,p101,MTM
0_1_0-2_1_1-3_1_2,p102,MTM
1_3_2,p103,MTM
0_1_0-2_1_1-0_1_2,p104,MTM
0_1_0-1_0_1-2_1_2,p105,MTM
0_1_0-2_1_1-2_1_2,p106,MTM
0_1_0-2_0_1-2_0_2,p107,MTM
0_1_0-0_2_1-2_3_2,p108,MTM
0_1_0-1_2_1-2_0_1,p109,EvoMine
1_2_1-2_0_1,p110,EvoMine
0_1_0-1_0_1-2_0_2,p111,MTM
0_1_1-1_2_1-2_0_1,p112,EvoMine
0_1_0-2_0_1-3_0_2,p113,MTM
0_1_0-2_1_1-3_2_2,p114,MTM
0_1_0-0_2_1-2_0_2,p115,MTM
0_1_0-2_0_1-1_0_2,p116,MTM
0_1_0-2_1_1-0_3_2,p117,MTM
0_1_0-0_2_1-3_0_2,p118,MTM
0_1_0-2_1_1-1_0_2,p119,MTM
0_1_0-2_1_1-3_0_2,p120,MTM
0_1_0-1_0_1-1_0_2,p121,MTM
0_1_0-1_2_1-3_2_2,p122,MTM
0_1_0-2_1_1-1_2_2,p123,MTM
0_1_0-0_1_1-1_0_2,p124,MTM
0_1_0-0_2_1-1_0_2,p125,MTM
0_1_0-1_2_1-0_1_2,p126,MTM
0_1_0-2_0_1-3_2_2,p127,MTM
0_1_0-0_2_1-1_3_2,p128,MTM
0_1_0-0_1_1-1_2_2,p129,MTM
0_1_0-1_0_1-1_2_2,p130,MTM
0_1_0-1_2_1-3_1_2,p131,MTM
0_1_0-1_2_1-1_3_2,p132,MTM
0_1_0-2_0_1-0_2_2,p133,MTM
0_1_0-0_1_1-2_0_2,p134,MTM
0_1_0-1_2_1-2_1_2,p135,MTM
0_1_0-1_2_1-1_0_2,p136,MTM
0_1_0-2_1_1-1_3_2,p137,MTM
0_1_0-2_0_1-0_3_2,p138,MTM
0_1_0-2_0_1-0_1_2,p139,MTM
0_1_0-1_2_1-1_2_2,p140,MTM
0_1_0-1_0_1-0_2_2,p141,MTM
0_1_0-1_2_1-0_3_2,p142,MTM
0_1_0-2_0_1-3_1_2,p143,MTM
0_1_0-1_2_1-2_3_2,p144,MTM
0_1_0-2_0_1-1_3_2,p145,MTM
0_1_0-1_2_1-3_0_2,p146,MTM
0_1_0-2_0_1-2_1_2,p147,MTM
0_1_0-0_2_1-2_1_2,p148,MTM
